1014|-0.25368252396583557,0.20918720960617065,-0.048569776117801666,-0.33572059869766235,0.3820529282093048,-0.6308581829071045,-0.6947077512741089,-0.8047279715538025
679|-0.7531401515007019,0.40709641575813293,-0.8688808083534241,-0.08152865618467331,0.018514012917876244,0.22339174151420593,0.8230264186859131,-1.0039522647857666
889|0.5353285074234009,-0.09307429939508438,0.1002890020608902,0.289574533700943,0.3188432455062866,-0.14141042530536652,-0.04857951030135155,0.5739793181419373
1085|0.4261762499809265,0.04426874965429306,0.37047919631004333,-0.2112300843000412,0.6279823184013367,-0.1721997857093811,-0.697813868522644,-0.38283848762512207
1751|0.5522933602333069,0.2385561317205429,-0.18745961785316467,0.08380682021379471,0.1639161854982376,-0.1647312194108963,-0.040584784001111984,-0.5202057957649231
138|0.0012100813910365105,-0.5709444284439087,0.08318213373422623,-0.21409690380096436,-0.31358805298805237,-0.3705027401447296,0.0012255518231540918,0.39899739623069763
1984|-0.17749130725860596,0.3807815611362457,0.230935201048851,-0.0063164932653307915,0.44692710041999817,-0.13351069390773773,-0.3793947994709015,0.05673883110284805
1667|-0.13155828416347504,-0.03938060626387596,-0.21910683810710907,-0.25578200817108154,-0.3228243291378021,-0.09825975447893143,-0.16988736391067505,0.3635297119617462
1806|-0.3282388150691986,0.22763299942016602,-0.30042874813079834,-0.10866981744766235,-0.09128475934267044,0.46109941601753235,0.80228590965271,-0.4867752194404602
